Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Libya,2010,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15403.95009
Libya,2010,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5662.645853
Libya,2010,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3407.183423
Libya,2010,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3364.062307
Libya,2010,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1624.754664
Libya,2010,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1872.055857
Libya,2010,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1768.844179
Libya,2010,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1724.605595
Libya,2010,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1663.930585
Libya,2010,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1627.747225
Libya,2010,World,Animal,Export,Export(US$ Mil),0.011303
Libya,2010,World,Vegetable,Export,Export(US$ Mil),0.032792
Libya,2010,World,Food Products,Export,Export(US$ Mil),0.663679
Libya,2010,World,Minerals,Export,Export(US$ Mil),
Libya,2010,World,Fuels,Export,Export(US$ Mil),35608.902017
Libya,2010,World,Chemicals,Export,Export(US$ Mil),461.491131
Libya,2010,World,Plastic or Rubber,Export,Export(US$ Mil),91.565084
Libya,2010,World,Hides and Skins,Export,Export(US$ Mil),0.06544
Libya,2010,World,Wood,Export,Export(US$ Mil),
Libya,2010,World,Textiles and Clothing,Export,Export(US$ Mil),0.451122
Libya,2010,World,Footwear,Export,Export(US$ Mil),
Libya,2010,World,Stone and Glass,Export,Export(US$ Mil),
Libya,2010,World,Metals,Export,Export(US$ Mil),277.231166
Libya,2010,World,Mach and Elec,Export,Export(US$ Mil),
Libya,2010,World,Transportation,Export,Export(US$ Mil),
Libya,2010,World,Miscellaneous,Export,Export(US$ Mil),
Libya,2010,World,Raw materials,Export,Export(US$ Mil),30545.491051
Libya,2010,World,Intermediate goods,Export,Export(US$ Mil),793.135474
Libya,2010,World,Consumer goods,Export,Export(US$ Mil),5101.787206
Libya,2010,World,Capital goods,Export,Export(US$ Mil),
Libya,2010,World,Raw materials,Import,Import(US$ Mil),1423.093606
Libya,2010,World,Intermediate goods,Import,Import(US$ Mil),3254.512836
Libya,2010,World,Consumer goods,Import,Import(US$ Mil),5650.914279
Libya,2010,World,Capital goods,Import,Import(US$ Mil),7086.69923200001
Libya,2010,World,All Products,Export,Exports (in US$ Mil),36440.413733
Libya,2010,World,All Products,Import,Imports (in US$ Mil),17674.367918
Libya,2015,...,...,Development,Trade Balance (current US$ Mil),-23226.304348
Libya,2010,...,...,Import,No. Of Import partners,100
Libya,2010,...,...,Import,No. Of Import products,2612
Libya,2010,...,...,Export,No. Of Export partners,48
Libya,2010,...,...,Export,No. Of Export products,48
Libya,2015,...,...,Others,Population,6278438
Libya,2016,...,...,Others,Ease of Doing Business Rank,188
Libya,2016,...,...,Others,Trading Across Borders Rank,114
Libya,2014,...,...,Others,LPI Rank,118
Libya,2014,...,...,Others,LPI Score,2.496979
Libya,2010,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,42.2716
Libya,2010,France,All Products,Export,Partner share(%)-Top 5 Export Partner,15.5395
Libya,2010,China,All Products,Export,Partner share(%)-Top 5 Export Partner,9.35
Libya,2010,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,9.2317
Libya,2010,Greece,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4587
Libya,2010,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5919
Libya,2010,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,10.008
Libya,2010,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.7577
Libya,2010,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4144
Libya,2010,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,9.2096
Libya,2010,World,Animal,Export,Export Product share(%),0
Libya,2010,World,Vegetable,Export,Export Product share(%),0.0001
Libya,2010,World,Food Products,Export,Export Product share(%),0.0018
Libya,2010,World,Minerals,Export,Export Product share(%),
Libya,2010,World,Fuels,Export,Export Product share(%),97.7182
Libya,2010,World,Chemicals,Export,Export Product share(%),1.2664
Libya,2010,World,Plastic or Rubber,Export,Export Product share(%),0.2513
Libya,2010,World,Hides and Skins,Export,Export Product share(%),0.0002
Libya,2010,World,Wood,Export,Export Product share(%),
Libya,2010,World,Textiles and Clothing,Export,Export Product share(%),0.0012
Libya,2010,World,Footwear,Export,Export Product share(%),
Libya,2010,World,Stone and Glass,Export,Export Product share(%),
Libya,2010,World,Metals,Export,Export Product share(%),0.7608
Libya,2010,World,Mach and Elec,Export,Export Product share(%),
Libya,2010,World,Transportation,Export,Export Product share(%),
Libya,2010,World,Miscellaneous,Export,Export Product share(%),
Libya,2010,World,Raw materials,Export,Export Product share(%),83.8231
Libya,2010,World,Intermediate goods,Export,Export Product share(%),2.1765
Libya,2010,World,Consumer goods,Export,Export Product share(%),14.0004
Libya,2010,World,Capital goods,Export,Export Product share(%),
Libya,2010,World,Raw materials,Import,Import Product share(%),8.0517
Libya,2010,World,Intermediate goods,Import,Import Product share(%),18.4137
Libya,2010,World,Consumer goods,Import,Import Product share(%),31.9724
Libya,2010,World,Capital goods,Import,Import Product share(%),40.0959
Libya,2010,World,All Products,Trade Indicator,World Growth (%),10.4290623808569
Libya,2010,World,All Products,Trade Indicator,Country Growth (%),13.6546913234265
Libya,2010,...,...,Trade Indicator,Index of export market penetration,1.58266807122641
Libya,2010,...,...,Trade Indicator,HH Market concentration index,0.142823141594973
