Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malawi,2015,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,114.046366
Malawi,2015,Zimbabwe,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,100.371144
Malawi,2015,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,99.636152
Malawi,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,80.242049
Malawi,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,63.882968
Malawi,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,417.336679
Malawi,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,303.818915
Malawi,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,253.645678
Malawi,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,237.722701
Malawi,2015,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,118.034951
Malawi,2015,World,Animal,Export,Export(US$ Mil),5.750942
Malawi,2015,World,Vegetable,Export,Export(US$ Mil),180.495585
Malawi,2015,World,Food Products,Export,Export(US$ Mil),650.930125
Malawi,2015,World,Minerals,Export,Export(US$ Mil),0.670239
Malawi,2015,World,Fuels,Export,Export(US$ Mil),0.217717
Malawi,2015,World,Chemicals,Export,Export(US$ Mil),24.334462
Malawi,2015,World,Plastic or Rubber,Export,Export(US$ Mil),37.005944
Malawi,2015,World,Hides and Skins,Export,Export(US$ Mil),5.666847
Malawi,2015,World,Wood,Export,Export(US$ Mil),15.331133
Malawi,2015,World,Textiles and Clothing,Export,Export(US$ Mil),35.447359
Malawi,2015,World,Footwear,Export,Export(US$ Mil),2.144246
Malawi,2015,World,Stone and Glass,Export,Export(US$ Mil),7.354214
Malawi,2015,World,Metals,Export,Export(US$ Mil),6.409415
Malawi,2015,World,Mach and Elec,Export,Export(US$ Mil),42.969436
Malawi,2015,World,Transportation,Export,Export(US$ Mil),18.942723
Malawi,2015,World,Miscellaneous,Export,Export(US$ Mil),46.430429
Malawi,2015,World,Raw materials,Export,Export(US$ Mil),599.795891
Malawi,2015,World,Intermediate goods,Export,Export(US$ Mil),228.147697
Malawi,2015,World,Consumer goods,Export,Export(US$ Mil),152.935473
Malawi,2015,World,Capital goods,Export,Export(US$ Mil),64.24263
Malawi,2015,World,Raw materials,Import,Import(US$ Mil),163.903674
Malawi,2015,World,Intermediate goods,Import,Import(US$ Mil),711.345315
Malawi,2015,World,Consumer goods,Import,Import(US$ Mil),966.179304999999
Malawi,2015,World,Capital goods,Import,Import(US$ Mil),408.706317
Malawi,2015,World,All Products,Export,Exports (in US$ Mil),1080.100821
Malawi,2015,World,All Products,Import,Imports (in US$ Mil),2311.614378
Malawi,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1989109.944
Malawi,2015,...,...,Development,Trade Balance (current US$ Mil),-414.5026177
Malawi,2015,...,...,Development,GDP (current US$ Mil),6403.8209492
Malawi,2015,...,...,Tariff,No. Of Tariff Agreement,7
Malawi,2015,...,...,Import,No. Of Import partners,136
Malawi,2015,...,...,Import,No. Of Import products,3602
Malawi,2015,...,...,Export,No. Of Export partners,109
Malawi,2015,...,...,Export,No. Of Export products,1142
Malawi,2015,...,...,Others,Population,17215232
Malawi,2016,...,...,Others,Ease of Doing Business Rank,133
Malawi,2016,...,...,Others,Trading Across Borders Rank,118
Malawi,2015,...,...,Others,CPIA Trade Ratings,3.5
Malawi,2014,...,...,Others,LPI Rank,73
Malawi,2014,...,...,Others,LPI Score,2.813029
